id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_crm_hh_ehc_department_manager,name_crm_hh_ehc_department_manager,model_crm_hh_ehc_department,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_user_manager,name_crm_hh_ehc_user_manager,model_crm_hh_ehc_user,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_group_master_service_manager,name_crm_hh_ehc_group_master_service_manager,model_crm_hh_ehc_group_master_service,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_group_master_service_manager,name_crm_hh_ehc_group_master_service_manager,model_crm_hh_ehc_group_master_service,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_statement_payment_manager,name_crm_hh_ehc_statement_payment_manager,model_crm_hh_ehc_statement_payment,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_medical_record_manager,name_crm_hh_ehc_medical_record_manager,model_crm_hh_ehc_medical_record,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_material_booking_manager,name_crm_hh_ehc_material_booking_manager,model_crm_hh_ehc_material_booking,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_patient_manager,name_crm_hh_ehc_patient_manager,model_crm_hh_ehc_patient,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_service_manager,name_crm_hh_ehc_service_manager,model_crm_hh_ehc_service,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_faculty_manager,name_crm_hh_ehc_faculty_manager,model_crm_hh_ehc_faculty,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_medical_record_line_manager,name_crm_hh_ehc_medical_record_line_manager,model_crm_hh_ehc_medical_record_line,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_contract_group_exam_manager,name_crm_hh_ehc_contract_group_exam_manager,model_crm_hh_ehc_contract_group_exam,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_sale_medicine_manager,name_crm_hh_ehc_sale_medicine_manager,model_crm_hh_ehc_sale_medicine,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_utm_source_manager,name_crm_hh_ehc_utm_source_manager,model_crm_hh_ehc_utm_source,crm_ehc.group_crm_ehc_manager,1,1,1,1
access_crm_hh_ehc_map_utm_source_manager,name_crm_hh_ehc_map_utm_source_manager,model_crm_hh_ehc_map_utm_source,crm_ehc.group_crm_ehc_manager,1,1,1,1

access_crm_hh_ehc_department_user,name_crm_hh_ehc_department_user,model_crm_hh_ehc_department,crm_ehc.group_crm_ehc_user,1,0,0,0
access_crm_hh_ehc_user_user,name_crm_hh_ehc_user,model_crm_hh_ehc_user,crm_ehc.group_crm_ehc_user,1,0,0,0
access_crm_hh_ehc_group_master_service_user,name_crm_hh_ehc_group_master_service_user,model_crm_hh_ehc_group_master_service,crm_ehc.group_crm_ehc_user,1,0,0,0
access_crm_hh_ehc_group_master_service_user,name_crm_hh_ehc_group_master_service_user,model_crm_hh_ehc_group_master_service,crm_ehc.group_crm_ehc_user,1,0,0,0
access_crm_hh_ehc_statement_payment_user,name_crm_hh_ehc_statement_payment_user,model_crm_hh_ehc_statement_payment,crm_ehc.group_crm_ehc_user,1,0,0,0
access_crm_hh_ehc_medical_record_user,name_crm_hh_ehc_medical_record_user,model_crm_hh_ehc_medical_record,crm_ehc.group_crm_ehc_user,1,1,1,0
